TargetName	DSP-1010474710004-A04	DSP-1010474710004-A06	DSP-1010474710004-A08	DSP-1010474710004-A10	DSP-1010474710004-A12	DSP-1010474710004-B02	DSP-1010474710004-B04	DSP-1010474710004-B06	DSP-1011206234567-H08
ALDH2	57	20	10	1	57	10	1	1	15
ALDH3A1	52	9	4	2	20	5	1	5	7
ALDH3A2	109	31	10	9	41	11	1	4	5
ALDH3B1	33	11	10	2	21	8	1	2	11
ALDH3B2	73	17	5	2	26	8	1	3	10
ALDH4A1	68	18	5	2	31	17	1	5	3
ALDH5A1	53	15	6	2	12	2	1	4	5
ALDH6A1	67	22	10	1	32	4	2	3	5
ALDH7A1	58	25	7	5	26	5	2	4	5
ALDH8A1	33	8	4	2	13	1	1	2	8
ALDH9A1	54	35	15	4	35	17	1	4	10
ALDOB	39	19	7	3	16	7	3	1	25
ALDOC	60	21	6	2	40	6	1	4	4
ALG10	66	19	7	2	20	4	1	1	5
ALG10B	82	21	10	4	26	17	3	1	5
ALG11,UTP14A,UTP14C	49	15	4	3	29	11	1	2	13
ALG12	64	22	4	4	24	11	1	4	11
ALG13	41	19	5	2	23	13	1	5	7
ALG14	66	23	9	5	27	5	1	1	6
ALG1L	96	29	10	2	38	8	1	5	7
ALG1L2	93	22	18	6	26	7	2	3	6
ALG2	56	15	1	1	28	10	2	4	7
ALG3	54	27	6	1	17	8	1	4	10
ALG5	66	14	2	1	39	14	1	6	6
ALG6	82	23	8	3	32	6	1	4	10
ALG8	44	9	4	2	22	5	1	2	7
ALG9	55	14	6	2	24	7	1	5	10
ALK	56	11	11	2	23	2	1	3	4
