TargetName	HUGOSymbol	TargetGroup	AnalyteType	CodeClass
FGF7	FGF7	All Probes	RNA	Endogenous
TNKS	TNKS	All Probes	RNA	Endogenous
TCL1B	TCL1B	All Probes	RNA	Endogenous
GZMB	GZMB	All Probes	RNA	Endogenous
COL3A1	COL3A1	All Probes	RNA	Endogenous
ITGA1	ITGA1	All Probes	RNA	Endogenous
PLCB1	PLCB1	All Probes	RNA	Endogenous
TMEFF2	TMEFF2	All Probes	RNA	Endogenous
EPCAM	EPCAM	All Probes	RNA	Endogenous
CR2	CR2	All Probes	RNA	Endogenous
FYN	FYN	All Probes	RNA	Endogenous
PGPEP1	PGPEP1	All Probes	RNA	Endogenous
RPA3	RPA3	All Probes	RNA	Endogenous
ITGAE	ITGAE	All Probes	RNA	Endogenous
TNFSF13	TNFSF13	All Probes	RNA	Endogenous
TICAM1	TICAM1	All Probes	RNA	Endogenous
CREBBP	CREBBP	All Probes	RNA	Endogenous
IRF9	IRF9	All Probes	RNA	Endogenous
CLEC4E	CLEC4E	All Probes	RNA	Endogenous
CTNNB1	CTNNB1	All Probes	RNA	Endogenous
TPM4	TPM4	All Probes	RNA	Control
ATRX	ATRX	All Probes	RNA	Endogenous
THBD	THBD	All Probes	RNA	Endogenous
TRAF6	TRAF6	All Probes	RNA	Endogenous
ISG20	ISG20	All Probes	RNA	Endogenous
BRD4	BRD4	All Probes	RNA	Endogenous
NUP107	NUP107	All Probes	RNA	Endogenous
DLL4	DLL4	All Probes	RNA	Endogenous
TNF	TNF	All Probes	RNA	Endogenous
INPP5D	INPP5D	All Probes	RNA	Endogenous
IL22RA1	IL22RA1	All Probes	RNA	Endogenous
SOX17	SOX17	All Probes	RNA	Endogenous
CD55	CD55	All Probes	RNA	Endogenous
E2F1	E2F1	All Probes	RNA	Endogenous
IL24	IL24	All Probes	RNA	Endogenous
CXCR1	CXCR1	All Probes	RNA	Endogenous
IFNB1	IFNB1	All Probes	RNA	Endogenous
NOD1	NOD1	All Probes	RNA	Endogenous
HDAC10	HDAC10	All Probes	RNA	Endogenous
FGF13	FGF13	All Probes	RNA	Endogenous
RBL2	RBL2	All Probes	RNA	Endogenous
FGF23	FGF23	All Probes	RNA	Endogenous
NCAM1	NCAM1	All Probes	RNA	Endogenous
AMER1	AMER1	All Probes	RNA	Endogenous
HLA-DRA	HLA-DRA	All Probes	RNA	Endogenous
PC	PC	All Probes	RNA	Endogenous
RAC2	RAC2	All Probes	RNA	Endogenous
CDC6	CDC6	All Probes	RNA	Endogenous
CXCL11	CXCL11	All Probes	RNA	Endogenous
PRKAR2A	PRKAR2A	All Probes	RNA	Endogenous
BRD3	BRD3	All Probes	RNA	Endogenous
HLA-DQA1/2	HLA-DQA1	All Probes	RNA	Endogenous
HDAC5	HDAC5	All Probes	RNA	Endogenous
BCOR	BCOR	All Probes	RNA	Endogenous
CD180	CD180	All Probes	RNA	Endogenous
PNOC	PNOC	All Probes	RNA	Endogenous
TRAF3	TRAF3	All Probes	RNA	Endogenous
PPP3R2	PPP3R2	All Probes	RNA	Endogenous
GLUL	GLUL	All Probes	RNA	Endogenous
PIK3CB	PIK3CB	All Probes	RNA	Endogenous
EPM2AIP1	EPM2AIP1	All Probes	RNA	Endogenous
ZEB1	ZEB1	All Probes	RNA	Endogenous
CACNB4	CACNB4	All Probes	RNA	Endogenous
CD1C	CD1C	All Probes	RNA	Endogenous
YTHDF2	YTHDF2	All Probes	RNA	Endogenous
PARP4	PARP4	All Probes	RNA	Endogenous
PTPN5	PTPN5	All Probes	RNA	Endogenous
CD53	CD53	All Probes	RNA	Endogenous
CDH11	CDH11	All Probes	RNA	Endogenous
GATA3	GATA3	All Probes	RNA	Endogenous
TLR1	TLR1	All Probes	RNA	Endogenous
LFNG	LFNG	All Probes	RNA	Endogenous
CHUK	CHUK	All Probes	RNA	Endogenous
NID2	NID2	All Probes	RNA	Endogenous
HLA-DPB1	HLA-DPB1	All Probes	RNA	Endogenous
COL24A1	COL24A1	All Probes	RNA	Endogenous
PDCD1	PDCD1	All Probes	RNA	Endogenous
PARP12	PARP12	All Probes	RNA	Endogenous
IL13	IL13	All Probes	RNA	Endogenous
CREB3L4	CREB3L4	All Probes	RNA	Endogenous
GRIN1	GRIN1	All Probes	RNA	Endogenous
ITGA5	ITGA5	All Probes	RNA	Endogenous
TNC	TNC	All Probes	RNA	Endogenous
NECTIN1	NECTIN1	All Probes	RNA	Endogenous
CD36	CD36	All Probes	RNA	Endogenous
THBS1	THBS1	All Probes	RNA	Endogenous
BIRC3	BIRC3	All Probes	RNA	Endogenous
NEFL	NEFL	All Probes	RNA	Endogenous
LAMP1	LAMP1	All Probes	RNA	Endogenous
DOCK9	DOCK9	All Probes	RNA	Endogenous
THBS4	THBS4	All Probes	RNA	Endogenous
HAVCR2	HAVCR2	All Probes	RNA	Endogenous
TSHR	TSHR	All Probes	RNA	Endogenous
FOXJ1	FOXJ1	All Probes	RNA	Endogenous
CCL7	CCL7	All Probes	RNA	Endogenous
FST	FST	All Probes	RNA	Endogenous
COL11A1	COL11A1	All Probes	RNA	Endogenous
PTCD2	PTCD2	All Probes	RNA	Endogenous
FGF14	FGF14	All Probes	RNA	Endogenous
IL6R	IL6R	All Probes	RNA	Endogenous
CEACAM8	CEACAM8	All Probes	RNA	Endogenous
KITLG	KITLG	All Probes	RNA	Endogenous
NOTCH2	NOTCH2	All Probes	RNA	Endogenous
PPP2R2C	PPP2R2C	All Probes	RNA	Endogenous
GNG12	GNG12	All Probes	RNA	Endogenous
CD2	CD2	All Probes	RNA	Endogenous
VEGFA	VEGFA	All Probes	RNA	Endogenous
EOMES	EOMES	All Probes	RNA	Endogenous
PSMB5	PSMB5	All Probes	RNA	Endogenous
DDX43	DDX43	All Probes	RNA	Endogenous
PLAUR	PLAUR	All Probes	RNA	Endogenous
MPL	MPL	All Probes	RNA	Endogenous
TAP2	TAP2	All Probes	RNA	Endogenous
ACVR2A	ACVR2A	All Probes	RNA	Endogenous
IL12B	IL12B	All Probes	RNA	Endogenous
SBNO2	SBNO2	All Probes	RNA	Endogenous
IL7	IL7	All Probes	RNA	Endogenous
TERT	TERT	All Probes	RNA	Endogenous
GRIN2A	GRIN2A	All Probes	RNA	Endogenous
ILF3	ILF3	All Probes	RNA	Endogenous
IL25	IL25	All Probes	RNA	Endogenous
NECTIN2	NECTIN2	All Probes	RNA	Endogenous
OAS3	OAS3	All Probes	RNA	Endogenous
HSD11B1	HSD11B1	All Probes	RNA	Endogenous
CLU	CLU	All Probes	RNA	Endogenous
POLR2J	POLR2J	All Probes	RNA	Endogenous
LILRB1	LILRB1	All Probes	RNA	Endogenous
NCOR1	NCOR1	All Probes	RNA	Endogenous
LEP	LEP	All Probes	RNA	Endogenous
FBXW7	FBXW7	All Probes	RNA	Endogenous
SF3B1	SF3B1	All Probes	RNA	Endogenous
LIG4	LIG4	All Probes	RNA	Endogenous
IL3RA	IL3RA	All Probes	RNA	Endogenous
TANK	TANK	All Probes	RNA	Endogenous
CACNA2D3	CACNA2D3	All Probes	RNA	Endogenous
